GRID_135.3,135.3,136.65
GRID_109.59,109.59,110.69
GRID_108.24,108.24,109.32
GRID_105.53,105.53,106.59
GRID_106.89,106.89,107.96
GRID_104.18,104.18,105.22
GRID_102.83,102.83,103.86
GRID_101.48,101.48,102.49
GRID_100.12,100.12,101.12
GRID_98.77,98.77,99.76
GRID_97.42,97.42,98.39
GRID_96.06,96.06,97.02
GRID_94.71,94.71,95.66
GRID_92,92,92.92
GRID_93.36,93.36,94.29
GRID_115.01,115.01,116.16
GRID_113.65,113.65,114.79
GRID_112.3,112.3,113.42
GRID_110.95,110.95,112.06
GRID_116.36,116.36,117.52
GRID_108.49,108.49,109.58
GRID_107.16,107.16,108.23
GRID_111.18,111.18,112.29
GRID_109.84,109.84,110.94
GRID_113.86,113.86,115
GRID_112.51,112.51,113.64
GRID_115.2,115.2,116.35
GRID_114.05,114.05,115.19
GRID_121.77,121.77,122.99
GRID_120.42,120.42,121.62
GRID_119.06,119.06,120.25
GRID_117.71,117.71,118.89
GRID_120.55,120.55,121.76
GRID_124.48,124.48,125.72
GRID_123.12,123.12,124.35
GRID_129.89,129.89,131.19
GRID_128.53,128.53,129.82
GRID_127.18,127.18,128.45
GRID_125.83,125.83,127.09
GRID_132.59,132.59,133.92
GRID_131.24,131.24,132.55
GRID_129.93,129.93,131.23
GRID_104.47,104.47,105.52
GRID_103.14,103.14,104.17
GRID_101.8,101.8,102.82
GRID_100.47,100.47,101.47
GRID_105.82,105.82,106.88
GRID_107.41,107.41,108.48
GRID_106.09,106.09,107.15
GRID_99.12,99.12,100.11
GRID_100.78,100.78,101.79
GRID_99.47,99.47,100.46
GRID_103.43,103.43,104.46
GRID_102.11,102.11,103.13
GRID_104.76,104.76,105.81
GRID_105.03,105.03,106.08
GRID_106.34,106.34,107.4
GRID_108.74,108.74,109.83
GRID_93.76,93.76,94.7
GRID_96.45,96.45,97.41
GRID_95.1,95.1,96.05
GRID_75.77,75.77,76.53
GRID_74.42,74.42,75.16
GRID_73.06,73.06,73.79
GRID_71.71,71.71,72.43
GRID_70.36,70.36,71.06
GRID_69,69,69.69
GRID_83.89,83.89,84.72
GRID_82.53,82.53,83.36
